id_consulta,tipo_tarefa,pergunta,linha,origem,destino,parada,sentido,dia_operacional,preferencia,ferramenta_esperada,faq_pergunta_referencia,faq_resposta_referencia,faq_categoria
R033,rota,Como chegar de ônibus do Largo da Matriz de Nossa Senhora do Ó até o Terminal Barra Funda?,,"Largo da Matriz de Nossa Senhora do Ó, São Paulo, SP","Terminal Barra Funda, São Paulo, SP",,,,rapida,consultar_rota,,,
R034,rota,Quero ir de ônibus do Terminal Brasilândia até o Terminal Barra Funda.,,"Terminal Brasilândia, São Paulo, SP","Terminal Barra Funda, São Paulo, SP",,,,rapida,consultar_rota,,,
R035,rota,Como ir de ônibus do Terminal Tucuruvi até o Hospital das Clínicas da FMUSP?,,"Terminal Tucuruvi, São Paulo, SP","Hospital das Clínicas da FMUSP, São Paulo, SP",,,,rapida,consultar_rota,,,
R036,rota,Qual trajeto de ônibus faço do Terminal Jaçanã até o Terminal Parque Dom Pedro II?,,"Terminal Jaçanã, São Paulo, SP","Terminal Parque Dom Pedro II, São Paulo, SP",,,,rapida,consultar_rota,,,
R037,rota,Como chegar de ônibus do Terminal Pirituba até o Shopping Tietê Plaza?,,"Terminal Pirituba, São Paulo, SP","Shopping Tietê Plaza, São Paulo, SP",,,,rapida,consultar_rota,,,
R038,rota,Me indique uma rota de ônibus do Terminal Jaraguá até o Terminal Pirituba.,,"Terminal Jaraguá, São Paulo, SP","Terminal Pirituba, São Paulo, SP",,,,rapida,consultar_rota,,,
R039,rota,Como ir de ônibus do Terminal Vila Maria até o Mercado Municipal do Brás?,,"Terminal Vila Maria, São Paulo, SP","Mercado Municipal do Brás, São Paulo, SP",,,,rapida,consultar_rota,,,
R040,rota,Quero ir de ônibus do Shopping Center Norte até o Terminal Santana.,,"Shopping Center Norte, São Paulo, SP","Terminal Santana, São Paulo, SP",,,,rapida,consultar_rota,,,
R041,rota,"Como chegar de ônibus da Rua da Mooca, 2000, até o Mercado Municipal de São Paulo?",,"Rua da Mooca, 2000, São Paulo, SP","Mercado Municipal de São Paulo, São Paulo, SP",,,,rapida,consultar_rota,,,
R042,rota,"Qual caminho de ônibus faço da Rua Vergueiro, 1000, até a Rua Cardeal Arcoverde, 2026?",,"Rua Vergueiro, 1000, São Paulo, SP","Rua Cardeal Arcoverde, 2026, Pinheiros, São Paulo, SP",,,,rapida,consultar_rota,,,
R043,rota,"Como ir de ônibus do Terminal Sacomã até o MASP, na Avenida Paulista?",,"Terminal Sacomã, São Paulo, SP","MASP, Avenida Paulista, São Paulo, SP",,,,rapida,consultar_rota,,,
R044,rota,Quero sair do Terminal Vila Prudente e chegar de ônibus ao Shopping Aricanduva.,,"Terminal Vila Prudente, São Paulo, SP","Shopping Aricanduva, São Paulo, SP",,,,rapida,consultar_rota,,,
R045,rota,Como chegar de ônibus do Terminal Saúde até o Estádio do Morumbi?,,"Terminal Saúde, São Paulo, SP","Estádio do Morumbi, São Paulo, SP",,,,rapida,consultar_rota,,,
R046,rota,Me mostre uma rota de ônibus do Terminal Sacomã até o Terminal Parque Dom Pedro II.,,"Terminal Sacomã, São Paulo, SP","Terminal Parque Dom Pedro II, São Paulo, SP",,,,rapida,consultar_rota,,,
R047,rota,"Como ir de ônibus da Praça General Polidoro, na Aclimação, até o Shopping Eldorado?",,"Praça General Polidoro, Aclimação, São Paulo, SP","Shopping Eldorado, São Paulo, SP",,,,rapida,consultar_rota,,,
R048,rota,"Qual rota de ônibus faço da Avenida Santo Amaro, 5130, no Brooklin, até o Shopping Morumbi?",,"Avenida Santo Amaro, 5130, Brooklin, São Paulo, SP","Shopping Morumbi, São Paulo, SP",,,,rapida,consultar_rota,,,
R049,rota,"Como chegar de ônibus do Autódromo de Interlagos, Portão 7, até o Terminal Santo Amaro?",,"Autódromo de Interlagos, Portão 7, São Paulo, SP","Terminal Santo Amaro, São Paulo, SP",,,,rapida,consultar_rota,,,
R050,rota,"Quero ir de ônibus da USP, Portão 1, até o Terminal Santo Amaro.",,"USP Portão 1, São Paulo, SP","Terminal Santo Amaro, São Paulo, SP",,,,rapida,consultar_rota,,,
