id_consulta,tipo_tarefa,pergunta,linha,origem,destino,parada,sentido,dia_operacional,preferencia,ferramenta_esperada,faq_pergunta_referencia,faq_resposta_referencia,faq_categoria
F040,faq,Quais são as modalidades do Bilhete Único de Estudante?,,,,,,,,faq,Quais são as modalidades do Bilhete Único de Estudante?,"• Bilhete Único de Estudante Meia-Tarifa, cujos créditos eletrônicos são adquiridos diretamente pelo usuário com redução de 50% (cinquenta por cento) sobre as tarifas básicas vigentes para o usuário comum.
• Bilhete Único de Estudante com Gratuidade, cujas cotas de viagens gratuitas são disponibilizadas com redução de até 100% (cem por cento) sobre as tarifas básicas vigentes para o usuário comum.",BILHETE ÚNICO DE ESTUDANTE
F041,faq,Quem pode adquirir o Bilhete Único de Estudante?,,,,,,,,faq,Quem pode adquirir o Bilhete Único de Estudante?,"Alunos do Ensino Fundamental, Ensino Médio, Ensino Técnico e Profissionalizante, Ensino Superior e Tecnológico, na rede pública municipal, estadual e federal ou na rede privada de ensino, cujos cursos sejam devidamente autorizados, oficialmente reconhecidos e fiscalizados pelas autoridades competentes. A instituição de ensino frequentada pelo estudante deverá localizar-se a uma distância não inferior a 1 (um) quilômetro da residência do aluno, e desde que exista ligação de transporte coletivo público entre estes pontos. É necessário ainda que, comprovadamente, os alunos residam no Município de São Paulo e estejam matriculados em cursos sediados na Região Metropolitana de São Paulo ou nos municípios constantes de portaria da SMT; ou residam na Região Metropolitana de São Paulo ou nos municípios constantes de portaria da SMT e estejam matriculados em cursos sediados no Município de São Paulo.",BILHETE ÚNICO DE ESTUDANTE
F042,faq,Quanto custa a segunda via do Bilhete Único de Estudante?,,,,,,,,faq,Quanto custa a 2ª via do Bilhete Único de Estudante?,"7 tarifas de ônibus vigentes. O pagamento pode ser feito por Pix, cartão ou boleto, conforme opções disponíveis no site.",BILHETE ÚNICO DE ESTUDANTE
F046,faq,Qual é o limite de tempo para reapresentar o Bilhete Único Especial da Pessoa com Deficiência no mesmo ônibus?,,,,,,,,faq,Há limite de tempo para reapresentação do Bilhete Único Especial da Pessoa com Deficiência no mesmo coletivo?,"Sim, o limite para reapresentação do cartão no mesmo coletivo é de 60 minutos. Nos bloqueios do metrô/trem, o limite é de 30 minutos.",BILHETE ÚNICO ESPECIAL DA PESSOA COM DEFICIÊNCIA
F048,faq,Pessoas de 60 a 64 anos com gratuidade precisam recarregar o Bilhete Único?,,,,,,,,faq,"Tenho direito à gratuidade, então por que preciso recarregar o cartão?","A pessoa com 60 a 64 anos utilizará o Bilhete Único Personalizado (Comum) que receberá uma cota mensal de gratuidade. Todo mês será disponibilizado o benefício, que deve ser carregado encostando o bilhete duas vezes em uma máquina de recarga.",GRATUIDADE - PESSOAS COM 60 A 64 ANOS
F049,faq,Quem tem direito ao Bilhete Único Especial da Pessoa Obesa?,,,,,,,,faq,Quem tem direito ao Bilhete Único Especial da Pessoa Obesa?,"Usuários com Índice de Massa Corporal (IMC) superior a 39,9, residentes no Município de São Paulo ou na Região Metropolitana, podem adquirir o cartão para desembarcarem pela porta dianteira do ônibus, após o pagamento da tarifa/giro da catraca e apresentação do Bilhete Único Especial ao motorista.
Nota: Esse tipo de cartão não proporciona isenção tarifária.",BILHETE ÚNICO ESPECIAL DA PESSOA OBESA
F050,faq,Quais são as regras de uso do Bilhete Único Vale-Transporte?,,,,,,,,faq,Quais são as regras de utilização do Bilhete Único Vale-Transporte?,"São permitidos:1. Dois embarques em ônibus diferentes, no período de três horas, com o pagamento de uma tarifa Vale-Transporte Ônibus.2. Um embarque em ônibus, em até 3 horas e um embarque no sistema trilhos (metrô/trem), nas duas primeiras horas, com o pagamento de uma tarifa Integração Ônibus + metrô/trem Vale-Transporte.3. Um embarque no sistema trilhos (metrô/trem), pagando uma tarifa Vale-Transporte metrô/trem.",BILHETE ÚNICO VALE-TRANSPORTE
F001,faq,Como funciona a gratuidade dos ônibus municipais aos domingos?,,,,,,,,faq,Como funciona a gratuidade aos domingos?,"Viajar nos ônibus municipais da cidade de São Paulo é gratuito em todos os domingos, para todos os passageiros da 0h às 23h59.",GRATUIDADE AOS DOMINGOS
F003,faq,"No Serviço Atende+ da SPTrans, como o usuário deve cancelar uma viagem agendada?",,,,,,,,faq,Como posso cancelar minhas viagens?,Acesse o site ou ligue para Central de Atendimento 156 e registre o cancelamento.,ATENDE+
F004,faq,Posso personalizar meu Bilhete Único com nome social?,,,,,,,,faq,Posso personalizar o meu Bilhete Único com “Nome Social”?,"Sim. Esse procedimento está garantido pelo Decreto Municipal nº 58.228/2018. Os interessados podem solicitar o serviço pelo site: sptrans.com.br/atendimento, inserindo a informação no campo correspondente na seção ""Meus Dados"" do menu ""Meu Perfil"".",BILHETE ÚNICO
F005,faq,Por quanto tempo valem os créditos adquiridos após 22/03/2019 no Bilhete Único?,,,,,,,,faq,Qual é o prazo máximo de validade dos créditos eletrônicos monetários e temporais?,Créditos adquiridos após 22/03/2019 valem por 12 meses.,BILHETE ÚNICO
F008,faq,O Bilhete Único Mamãe Tarifa Zero pode ser usado nos ônibus da SPTrans?,,,,,,,,faq,O Bilhete Único Mamãe Tarifa Zero poderá ser usado no metrô ou trem?,"Os créditos de gratuidade do Bilhete Único Mamãe Tarifa Zero são válidos apenas para uso nos ônibus da SPTrans. Para utilizar o metrô ou trem, é necessário carregar o cartão com créditos do tipo Comum.",BILHETE ÚNICO MAMÃE TARIFA ZERO
F009,faq,O Bilhete Único Mamãe Tarifa Zero pode ser usado no metrô ou no trem?,,,,,,,,faq,O Bilhete Único Mamãe Tarifa Zero poderá ser usado no metrô ou trem?,"Os créditos de gratuidade do Bilhete Único Mamãe Tarifa Zero são válidos apenas para uso nos ônibus da SPTrans. 
Para utilizar o metrô ou trem, é necessário carregar o cartão com créditos do tipo ""Comum"" (dinheiro ou cotas de tempo).",BILHETE ÚNICO MAMÃE TARIFA ZERO
F013,faq,Qual é o prazo de entrega do Bilhete Único da Gestante após entregar a documentação?,,,,,,,,faq,Qual o prazo para entrega do Bilhete Único da Gestante?,A previsão de entrega é de até 20 dias a contar da data de entrega de toda a documentação necessária.,BILHETE ÚNICO DA GESTANTE
F015,faq,Quais são as formas de pagamento da solicitação do Bilhete Único de Estudante?,,,,,,,,faq,Quais as formas de pagamento da solicitação do Bilhete Único de Estudante?,"• Pelo site do Documento Nacional dos Estudantes – DNE (PIX, cartão de crédito ou boleto)",BILHETE ÚNICO DE ESTUDANTE
F018,faq,Qual é o prazo de entrega do Bilhete Único Especial da Pessoa com Deficiência após aprovação?,,,,,,,,faq,Qual o prazo para entrega do Bilhete Único?,"A previsão de entrega é de até 20 dias, contados a partir da aprovação da solicitação.",BILHETE ÚNICO ESPECIAL DA PESSOA COM DEFICIÊNCIA
F031,faq,Qual é o limite de tempo para reapresentar o Bilhete Único Especial da Pessoa com Deficiência no mesmo ônibus?,,,,,,,,faq,Há limite de tempo para reapresentação do Bilhete Único Especial da Pessoa com Deficiência no mesmo coletivo?,"Sim, o limite para reapresentação do cartão no mesmo coletivo é de 60 minutos. Nos bloqueios do metrô/trem, o limite é de 30 minutos.",BILHETE ÚNICO ESPECIAL DA PESSOA COM DEFICIÊNCIA
F043,faq,Meu cartão de gratuidade para pessoas de 60 a 64 anos parou de funcionar; o que devo fazer?,,,,,,,,faq,"Meu cartão parou de funcionar, o que devo fazer?",Dirija-se a um Posto de Atendimento da SPTrans mais próximo para que o cartão seja analisado.,GRATUIDADE - PESSOAS COM 60 A 64 ANOS
F044,faq,Existe alguma restrição de uso para o Bilhete Único Especial da Pessoa Obesa?,,,,,,,,faq,Há restrição para o uso do Bilhete Único Especial da Pessoa Obesa?,"Sem restrição, porém a integração gratuita no período de 3h é pessoal e intransferível.",BILHETE ÚNICO ESPECIAL DA PESSOA OBESA
F045,faq,"Se a empresa já pagou o pedido de Vale-Transporte, por que a recarga ainda não aparece no Bilhete Único?",,,,,,,,faq,Minha empresa já fez o pedido do Vale-Transporte. Por que a recarga ainda não está disponível?,"Após o pagamento do boleto, é preciso aguardar 2 dias úteis para a liquidação financeira e disponibilização para recarga.",BILHETE ÚNICO VALE-TRANSPORTE
F047,faq,Qual é o prazo de validade do Bilhete QR Digital da SPTrans?,,,,,,,,faq,Qual o prazo de validade de um Bilhete QR Digital?,"O Bilhete QR Digital não possui validade, será válido até ser utilizado.",PAGAMENTO VIA QR CODE - BILHETE QR DIGITAL
